Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","1883","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","1873","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","46.65","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","46.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","18.13","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","18.28","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","2534","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","2534","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","48.91","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","48.94","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","50.69","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","48.93","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","2198","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","2206","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","52.11","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","52","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","38.13","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","38.81","Fc","Donnée calculée"
